id_ordem_servico,valor_total,valor_total_servicos,valor_total_produtos,data_saida_prevista,data_saida_efetiva,data_atualizacao,status,seguradora,nf_realizada,pagt_realizado,ativo,id_registro_entrada,data_entrada_prevista,data_entrada_efetiva,responsavel,cpf,fk_veiculo,fk_ordem_servico,ano,mes,dia,semana
100,1640.0,780.0,860.0,2025-01-03,2025-01-09,2026-05-25,FINALIZADO,1,1,1,1,100,2025-01-01,2025-01-01,Andre Silva,50000000001,3,100,2025,1,9,1
101,1039.8,920.0,119.8,2025-01-06,2025-01-13,2026-05-25,FINALIZADO,0,1,1,1,101,2025-01-04,2025-01-04,Beatriz Ramos,50000000002,4,101,2025,1,13,2
102,659.7,540.0,119.69999999999999,2025-01-10,2025-01-16,2026-05-25,FINALIZADO,1,1,1,1,102,2025-01-08,2025-01-08,Carlos Nunes,50000000003,5,102,2025,1,16,2
103,344.0,320.0,24.0,2025-01-14,2025-01-22,2026-05-25,FINALIZADO,0,1,1,1,103,2025-01-12,2025-01-12,Daniela Souza,50000000004,6,103,2025,1,22,3
104,855.0,680.0,175.0,2025-01-18,2025-01-24,2026-05-25,FINALIZADO,1,1,1,1,104,2025-01-16,2025-01-16,Eduardo Lima,50000000005,7,104,2025,1,24,3
105,1075.0,980.0,95.0,2025-01-22,2025-01-30,2026-05-25,FINALIZADO,0,1,1,1,105,2025-01-20,2025-01-20,Fernanda Alves,50000000006,8,105,2025,1,30,4
106,945.0,780.0,165.0,2025-02-05,2025-02-05,2026-05-25,FINALIZADO,1,1,1,1,106,2025-02-03,2025-02-03,Gustavo Rocha,50000000007,9,106,2025,2,5,5
107,1109.9,920.0,189.9,2025-02-12,2025-02-13,2026-05-25,FINALIZADO,0,1,1,1,107,2025-02-10,2025-02-10,Helena Costa,50000000008,10,107,2025,2,13,6
108,700.0,540.0,160.0,2025-02-20,2025-02-20,2026-05-25,FINALIZADO,1,1,1,1,108,2025-02-18,2025-02-18,Igor Santos,50000000009,11,108,2025,2,20,7
109,349.8,320.0,29.8,2025-03-04,2025-03-04,2026-05-25,FINALIZADO,0,1,1,1,109,2025-03-02,2025-03-02,Juliana Pires,50000000010,12,109,2025,3,4,9
110,815.0,680.0,135.0,2025-03-11,2025-03-12,2026-05-25,FINALIZADO,1,1,1,1,110,2025-03-09,2025-03-09,Kaique Martins,50000000011,13,110,2025,3,12,10
111,1059.0,980.0,79.0,2025-03-19,2025-03-19,2026-05-25,FINALIZADO,0,1,1,1,111,2025-03-17,2025-03-17,Larissa Gomes,50000000012,14,111,2025,3,19,11
112,1640.0,780.0,860.0,2025-04-16,2025-04-18,2026-05-25,FINALIZADO,1,1,1,1,112,2025-04-14,2025-04-14,Andre Silva,50000000013,15,112,2025,4,18,15
113,1039.8,920.0,119.8,2025-04-18,2025-04-21,2026-05-25,FINALIZADO,0,1,1,1,113,2025-04-16,2025-04-16,Beatriz Ramos,50000000014,16,113,2025,4,21,16
114,659.7,540.0,119.69999999999999,2025-04-21,2025-04-24,2026-05-25,FINALIZADO,1,1,1,1,114,2025-04-19,2025-04-19,Carlos Nunes,50000000015,17,114,2025,4,24,16
115,344.0,320.0,24.0,2025-04-25,2025-04-26,2026-05-25,FINALIZADO,0,1,1,1,115,2025-04-23,2025-04-23,Daniela Souza,50000000016,18,115,2025,4,26,16
116,855.0,680.0,175.0,2025-05-02,2025-05-04,2026-05-25,FINALIZADO,1,1,1,1,116,2025-04-30,2025-04-30,Eduardo Lima,50000000017,19,116,2025,5,4,18
117,1075.0,980.0,95.0,2025-05-07,2025-05-08,2026-05-25,FINALIZADO,0,1,1,1,117,2025-05-05,2025-05-05,Fernanda Alves,50000000018,20,117,2025,5,8,18
118,945.0,780.0,165.0,2025-05-15,2025-05-15,2026-05-25,FINALIZADO,1,1,1,1,118,2025-05-13,2025-05-13,Gustavo Rocha,50000000019,21,118,2025,5,15,19
119,1109.9,920.0,189.9,2025-05-22,2025-05-23,2026-05-25,FINALIZADO,0,1,1,1,119,2025-05-20,2025-05-20,Helena Costa,50000000020,22,119,2025,5,23,20
120,700.0,540.0,160.0,2025-06-03,2025-06-10,2026-05-25,FINALIZADO,1,1,1,1,120,2025-06-01,2025-06-01,Igor Santos,50000000021,23,120,2025,6,10,23
121,349.8,320.0,29.8,2025-06-07,2025-06-14,2026-05-25,FINALIZADO,0,1,1,1,121,2025-06-05,2025-06-05,Juliana Pires,50000000022,24,121,2025,6,14,23
122,815.0,680.0,135.0,2025-06-12,2025-06-20,2026-05-25,FINALIZADO,1,1,1,1,122,2025-06-10,2025-06-10,Kaique Martins,50000000023,25,122,2025,6,20,24
123,1059.0,980.0,79.0,2025-06-17,2025-06-24,2026-05-25,FINALIZADO,0,1,1,1,123,2025-06-15,2025-06-15,Larissa Gomes,50000000024,26,123,2025,6,24,25
124,1640.0,780.0,860.0,2025-06-21,2025-06-29,2026-05-25,FINALIZADO,1,1,1,1,124,2025-06-19,2025-06-19,Andre Silva,50000000025,27,124,2025,6,29,26
125,1039.8,920.0,119.8,2025-06-25,2025-07-03,2026-05-25,FINALIZADO,0,1,1,1,125,2025-06-23,2025-06-23,Beatriz Ramos,50000000026,28,125,2025,7,3,26
126,659.7,540.0,119.69999999999999,2025-07-04,2025-07-04,2026-05-25,FINALIZADO,1,1,1,1,126,2025-07-02,2025-07-02,Carlos Nunes,50000000027,29,126,2025,7,4,26
127,344.0,320.0,24.0,2025-07-10,2025-07-11,2026-05-25,FINALIZADO,0,1,1,1,127,2025-07-08,2025-07-08,Daniela Souza,50000000028,30,127,2025,7,11,27
128,855.0,680.0,175.0,2025-07-18,2025-07-18,2026-05-25,FINALIZADO,1,1,1,1,128,2025-07-16,2025-07-16,Eduardo Lima,50000000029,31,128,2025,7,18,28
